title,introduce,director,link
肖申克的救赎,希望让人自由。,弗兰克·德拉邦特,https://movie.douban.com/subject/1292052/
霸王别姬,风华绝代。,陈凯歌,https://movie.douban.com/subject/1291546/
这个杀手不太冷,怪蜀黍和小萝莉不得不说的故事。,吕克·贝松,https://movie.douban.com/subject/1295644/
阿甘正传,一部美国近现代史。,Robert,https://movie.douban.com/subject/1292720/
美丽人生,最美的谎言。,罗伯托·贝尼尼,https://movie.douban.com/subject/1292063/
千与千寻,最好的宫崎骏，最好的久石让。 ,宫崎骏,https://movie.douban.com/subject/1291561/
辛德勒的名单,拯救一个人，就是拯救整个世界。,史蒂文·斯皮尔伯格,https://movie.douban.com/subject/1295124/
泰坦尼克号,失去的才是永恒的。 ,詹姆斯·卡梅隆,https://movie.douban.com/subject/1292722/
盗梦空间,诺兰给了我们一场无法盗取的梦。,克里斯托弗·诺兰,https://movie.douban.com/subject/3541415/
机器人总动员,小瓦力，大人生。,安德鲁·斯坦顿,https://movie.douban.com/subject/2131459/
海上钢琴师,每个人都要走一条自己坚定了的路，就算是粉身碎骨。 ,朱塞佩·托纳多雷,https://movie.douban.com/subject/1292001/
三傻大闹宝莱坞,英俊版憨豆，高情商版谢耳朵。,拉库马·希拉尼,https://movie.douban.com/subject/3793023/
忠犬八公的故事,永远都不能忘记你所爱的人。,莱塞·霍尔斯道姆,https://movie.douban.com/subject/3011091/
放牛班的春天,天籁一般的童声，是最接近上帝的存在。 ,克里斯托夫·巴拉蒂,https://movie.douban.com/subject/1291549/
大话西游之大圣娶亲,一生所爱。,刘镇伟,https://movie.douban.com/subject/1292213/
教父,千万不要记恨你的对手，这样会让你失去理智。,弗朗西斯·福特·科波拉,https://movie.douban.com/subject/1291841/
龙猫,人人心中都有个龙猫，童年就永远不会消失。,宫崎骏,https://movie.douban.com/subject/1291560/
楚门的世界,如果再也不能见到你，祝你早安，午安，晚安。,彼得·威尔,https://movie.douban.com/subject/1292064/
乱世佳人,Tomorrow is another day.,维克多·弗莱明,https://movie.douban.com/subject/1300267/
熔炉,我们一路奋战不是为了改变世界，而是为了不让世界改变我们。,黄东赫,https://movie.douban.com/subject/5912992/
天堂电影院,那些吻戏，那些青春，都在影院的黑暗里被泪水冲刷得无比清晰。,朱塞佩·托纳多雷,https://movie.douban.com/subject/1291828/
触不可及,满满温情的高雅喜剧。,奥利维·那卡什,https://movie.douban.com/subject/6786002/
当幸福来敲门,平民励志片。 ,加布里尔·穆奇诺,https://movie.douban.com/subject/1849031/
无间道,香港电影史上永不过时的杰作。,刘伟强,https://movie.douban.com/subject/1307914/
星际穿越,爱是一种力量，让我们超越时空感知它的存在。,克里斯托弗·诺兰,https://movie.douban.com/subject/1889243/
十二怒汉,1957年的理想主义。 ,Sidney,https://movie.douban.com/subject/1293182/
搏击俱乐部,邪恶与平庸蛰伏于同一个母体，在特定的时间互相对峙。,大卫·芬奇,https://movie.douban.com/subject/1292000/
怦然心动,真正的幸福是来自内心深处。,罗伯·莱纳,https://movie.douban.com/subject/3319755/
指环王3：王者无敌,史诗的终章。,彼得·杰克逊,https://movie.douban.com/subject/1291552/
少年派的奇幻漂流,瑰丽壮观、无人能及的冒险之旅。,李安,https://movie.douban.com/subject/1929463/
鬼子来了,对敌人的仁慈，就是对自己残忍。,姜文,https://movie.douban.com/subject/1291858/
天空之城,对天空的追逐，永不停止。 ,宫崎骏,https://movie.douban.com/subject/1291583/
蝙蝠侠：黑暗骑士,无尽的黑暗。,克里斯托弗·诺兰,https://movie.douban.com/subject/1851857/
活着,张艺谋最好的电影。,张艺谋,https://movie.douban.com/subject/1292365/
罗马假日,爱情哪怕只有一天。,威廉·惠勒,https://movie.douban.com/subject/1293839/
大话西游之月光宝盒,旷古烁今。,刘镇伟,https://movie.douban.com/subject/1299398/
飞屋环游记,最后那些最无聊的事情，才是最值得怀念的。 ,彼特·道格特,https://movie.douban.com/subject/2129039/
两杆大烟枪,4个臭皮匠顶个诸葛亮，盖·里奇果然不是盖的。,Guy,https://movie.douban.com/subject/1293350/
窃听风暴,别样人生。,弗洛里安·亨克尔·冯·多纳斯马,https://movie.douban.com/subject/1900841/
飞越疯人院,自由万岁。,米洛斯·福尔曼,https://movie.douban.com/subject/1292224/
海豚湾,海豚的微笑，是世界上最高明的伪装。,Louie,https://movie.douban.com/subject/3442220/
闻香识女人,史上最美的探戈。,马丁·布莱斯,https://movie.douban.com/subject/1298624/
V字仇杀队,一张面具背后的理想与革命。,詹姆斯·麦克特格,https://movie.douban.com/subject/1309046/
控方证人,比利·怀德满分作品。,比利·怀尔德,https://movie.douban.com/subject/1296141/
哈尔的移动城堡,带着心爱的人在天空飞翔。,宫崎骏,https://movie.douban.com/subject/1308807/
教父2,优雅的孤独。,弗朗西斯·福特·科波拉,https://movie.douban.com/subject/1299131/
美丽心灵,爱是一切逻辑和原由。,朗·霍华德,https://movie.douban.com/subject/1306029/
死亡诗社,当一个死水般的体制内出现一个活跃的变数时，所有的腐臭都站在了光明的对面。,彼得·威尔,https://movie.douban.com/subject/1291548/
指环王2：双塔奇兵,承前启后的史诗篇章。,彼得·杰克逊,https://movie.douban.com/subject/1291572/
指环王1：魔戒再现,传说的开始。,彼得·杰克逊,https://movie.douban.com/subject/1291571/
辩护人,电影的现实意义大过电影本身。,杨宇硕,https://movie.douban.com/subject/21937445/
情书,暗恋的极致。,岩井俊二,https://movie.douban.com/subject/1292220/
疯狂动物城,迪士尼给我们营造的乌托邦就是这样，永远善良勇敢，永远出乎意料。,拜伦·霍华德,https://movie.douban.com/subject/25662329/
美国往事,往事如烟，无处祭奠。,赛尔乔·莱翁内,https://movie.douban.com/subject/1292262/
饮食男女,人生不能像做菜，把所有的料都准备好了才下锅。,李安,https://movie.douban.com/subject/1291818/
天使爱美丽,法式小清新。 ,让-皮埃尔·热内,https://movie.douban.com/subject/1292215/
钢琴家,音乐能化解仇恨。,罗曼·波兰斯基,https://movie.douban.com/subject/1296736/
狮子王,动物版《哈姆雷特》。,Roger,https://movie.douban.com/subject/1301753/
七宗罪,警察抓小偷，老鼠玩死猫。,大卫·芬奇,https://movie.douban.com/subject/1292223/
被嫌弃的松子的一生,以戏谑来戏谑戏谑。,中岛哲也,https://movie.douban.com/subject/1787291/
致命魔术,孪生蝙蝠侠大战克隆金刚狼。,克里斯托弗·诺兰,https://movie.douban.com/subject/1780330/
小鞋子,奔跑的孩子是天使。,马基德·马基迪,https://movie.douban.com/subject/1303021/
勇敢的心,史诗大片的典范。,梅尔·吉布森,https://movie.douban.com/subject/1294639/
剪刀手爱德华,浪漫忧郁的成人童话。,Tim,https://movie.douban.com/subject/1292370/
音乐之声,用音乐化解仇恨，让歌声串起美好。,Robert,https://movie.douban.com/subject/1294408/
素媛,受过伤害的人总是笑得最开心，因为他们不愿意让身边的人承受一样的痛苦。,李濬益,https://movie.douban.com/subject/21937452/
低俗小说,故事的高级讲法。,昆汀·塔伦蒂诺,https://movie.douban.com/subject/1291832/
本杰明·巴顿奇事,在时间之河里感受溺水之苦。,大卫·芬奇,https://movie.douban.com/subject/1485260/
黑客帝国,视觉革命。,安迪·沃卓斯基,https://movie.douban.com/subject/1291843/
沉默的羔羊,安东尼·霍普金斯的顶级表演。,乔纳森·戴米,https://movie.douban.com/subject/1293544/
入殓师,死可能是一道门，逝去并不是终结，而是超越，走向下一程。,泷田洋二郎,https://movie.douban.com/subject/2149806/
拯救大兵瑞恩,美利坚精神输出大片No1.,史蒂文·斯皮尔伯格,https://movie.douban.com/subject/1292849/
西西里的美丽传说,美丽无罪。,朱塞佩·托纳多雷,https://movie.douban.com/subject/1292402/
蝴蝶效应,人的命运被自己瞬间的抉择改变。,埃里克·布雷斯,https://movie.douban.com/subject/1292343/
玛丽和马克思,你是我最好的朋友，你是我唯一的朋友 。,亚当·艾略特,https://movie.douban.com/subject/3072124/
春光乍泄,爱情纠缠，男女一致。,王家卫,https://movie.douban.com/subject/1292679/
让子弹飞,你给我翻译翻译，神马叫做TMD的惊喜。,姜文,https://movie.douban.com/subject/3742360/
心灵捕手,人生中应该拥有这样的一段豁然开朗。,格斯·范·桑特,https://movie.douban.com/subject/1292656/
大闹天宫,经典之作，历久弥新。,万籁鸣,https://movie.douban.com/subject/1418019/
